Nick,Data,Komentarz
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gości ,29.03.2019 22:00,"Eee, szkoda jej :( Powinien odpasc ten misterek"
Gość,29.03.2019 22:00,Proszę o lajka
Gość,29.03.2019 22:00,Nie zasnę z rozpaczy. Piotr
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:01,Barański to się chyba cieszy z końca tej tragedii
gość,29.03.2019 22:01,W końcu! 👏
Gość,29.03.2019 22:01,Gość: No w końcu...Chyba ich powalilo na tym polsacie. Jak oni mogli nie przepuscic Justyny? Teraz nikt nie bedzie tego ogladal bo i po co.
Gość,29.03.2019 22:01,Gość: No w końcu...Chyba ich powalilo na tym polsacie. Jak oni mogli nie przepuscic Justyny? Teraz nikt nie bedzie tego ogladal bo i po co.
Gość,29.03.2019 22:01,Niech zbiera swoje zabawki i wraca do przedszkola
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:03,Przy tym stole wyglądała jak Gesslerowa. 😂😂😂😂😂
gość,29.03.2019 22:03,"Agnieszka tańczy pięknie, nie pieprzcie, że jest faworyzowana, bo wyższe oceny dostają Tamara i Joanna. A jest usta są jej ustami, pilnujcie własnych. :D Jest dorosła, może się naciągnąć jak gumka od majtek, ważne że ona czuje się dobrze we własnym ciele. :)"
Gosiak ,29.03.2019 22:03,"Gość: Ta czarna jurorka jest straszna,  to przez niąNie, to przez brak talentu..!!"
Gość,29.03.2019 22:03,"Bez Justy nie ma kogo tam oglądać, sry. Vogule Poland załamie się."
Gość,29.03.2019 22:04,Chyba szybciej niż Polsat podaliscie te informacje.
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
